"rumah_sakit","specialty","golongan","service_code","nama_layanan"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010003","Eksplorasi Robekan + Hecting"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010004","Ekstirpasi Mioma Geburt Kecil"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010006","Hidrotubasi/ Kromotubasi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010056","Tubektomi Intra SC"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010061","Kuretase"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010062","Kuretase Sisa Konsepsi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010064","Kuretase AUB/ Hiperplasia Endometrium"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010066","Aff Cerclage"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010073","Biopsi Portio"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010107","Colpotomy"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010108","Aff IUD dengan Anestesi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010142","Himenektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010144","Insisi Drainase Abses Bartolini"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010145","Kauterisasi Kondiloma"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010147","Ekstraksi dan Pasang IUD Bersama Operasi Lain"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010155","Management HPP"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KECIL","OBGD010162","Douglas Pungsi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010001","Adhesiolisis Perlekatan Ringan"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010002","Eksisi Biopsi Tumor Jinak Vulva"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010005","Ekstirpasi Mioma Geburt Besar"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010009","Hymenoplasty"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010048","Operasi Kista Bartolini"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010055","Pasang Cervical Cerclage/ Shirodkard/ McDonalds"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010058","Repair Perineum + Eksisi Adhesi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010063","Kuretase Mola"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010071","Re - Hecting Sedang"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010074","Minilaparotomi (Polmeroy)"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010078","Ekstirpasi Polip Serviks"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010079","Repair Robekan Forniks"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010111","Eksisi Kista Bartolini"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010112","Eksplorasi Diagnostik dengan Narkose"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010113","Ekstirpasi Tumor Vulva"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010116","Kauterisasi Condiloma Akuminata Luas"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010117","Kauterisasi Perineum"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010133","Tubektomi Post Partum"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010146","Kauterisasi Portio"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010151","Repair Perineum Besar"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010156","Hecting Ruptur Vagina"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010157","Marsupialisasi Kista Bartolin"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010158","Repair Perineum Sedang"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010163","Ekstirpasi Kista Gardner"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010168","Eksisi Tumor Jinak/ Kista Vagina"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","SEDANG 1","OBGD010181","Clitoral Hood Reduction"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010010","Kolporafi Anterior/ Posterior"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010012","Konisasi Serviks"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010013","Laparoskopi Diagnostik"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010028","Laparotomi B - Lynch"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010032","Laparotomi KET"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010033","Laparotomi Kistektomi Bilateral"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010034","Laparotomi Kistektomi Unilateral"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010038","Laparotomi Ooforektomi Unilateral"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010041","Laparotomi Salpingektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010042","Laparotomi Salpingo Ooforektomi Unilateral"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010045","Laparotomi Translokasi IUD"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010046","Ligasi Arteri Hipogastrica"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010047","Ligasi Arteri Uterina"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010053","Tubektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010054","Sectio Caesaria"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010072","Re - Hecting Besar"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010084","Laparoskopi Steril"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010098","Debridement"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010101","Labioplasty"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010102","Biopsi Jaringan pada Laparotomi Diagnostik"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010109","Amputasi Cervik/ Trakelektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010135","Loop Electrosurgical Excision Procedure(LEEP)"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010160","Endometriektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010173","Laparotomi Salpingostomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 1","OBGD010204","Rehecting + Debridement"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010007","Histeroskopi Diagnostik"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010022","Laparoskopi Pungsi Kista"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010026","Laparoskopi Translokasi IUD"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010030","Laparotomi Histerektomi Subtotal/ Histerektomi Supravaginal (HSV)"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010031","Laparotomi Histerektomi Total"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010036","Laparotomi Miomektomi Tunggal"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010037","Laparotomi Ooforektomi Bilateral"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010039","Laparotomi Purandare"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010040","Laparotomi Reseksi Adenomiosis"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010043","Laparotomi Salpingo Ooforektomi Bilateral"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010051","Repair Fistula Simple"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010059","Sectio Caesaria (Gemeli)"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010060","Sectio Caesaria dengan Penyulit"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010067","Sectio Caesaria pada Bekas SC"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010069","Sectio Caesaria dengan Obesitas Morbid"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010099","Kolpakleisis"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010120","Laparotomi Kistektomi Bilateral dengan Penyulit"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010136","Laparotomi Histeroraphy"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010140","Laparotomi Ooforektomi Unilateral dengan Penyulit"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010154","Laparaskopi Patensi Tuba"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010170","Histerostomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010172","Adhesiolisis Perlengkatan Berat"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","BESAR 2","OBGD010182","Laparoskopi Transposisi Ovarium"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010008","Histeroskopi Operatif"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010011","Kolporafi Anterior + Posterior"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010014","Laparoskopi Histerektomi Total"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010016","Laparoskopi Kehamilan Ektopik"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010017","Laparoskopi Kistektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010018","Laparoskopi Miomektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010019","Laparoskopi Miomektomi Multiple Besar"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010020","Laparoskopi Ovarian Drilling"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010021","Laparoskopi Ooforektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010023","Laparoskopi Reseksi Adenomiosis"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010024","Laparoskopi Salpingektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010025","Laparoskopi Salpingotomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010027","Laparoskopi Tubektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010029","Laparotomi Diagnostik"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010035","Laparotomi Miomektomi Multiple"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010050","Rekanalisasi Tuba"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010052","Repair Fistula Vesiko Vagina"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010057","Vaginal Histerektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010068","Laparoskopi Operatif"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010075","Vaginoplasty"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010085","Repair Tuba/ Tuboplasty"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010097","Histerektomi dengan Salpingo Ooforektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010100","Sacro Spinosum Fixation (SSF)"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010110","Bekas Sectio Caesaria (BSC) + B - Lynch"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010114","Hymenorafi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010139","Laparoskopi Kistektomi dengan Penyulit"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010141","Laparoskopi Ooforektomi/ Salpingo Ooforektomi dengan Penyulit"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010148","Laparoskopi Miomektomi Tunggal dengan Penyulit"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010179","Laparoskopi Kistektomi Bilateral"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010180","Laparoskopi Adhesiolisis"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010183","LAVH (Laparoskopi Assisted Vaginal Histerektomi)"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010202","Histeroskopi Miomektomi"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 1","OBGD010203","Laparotomi Transposisi Ovarium"
"Mitra Keluarga Bekasi Timur","KEBIDANAN & KANDUNGAN","KHUSUS 2","OBGD010015","Laparoskopi Histerektomi Radikal"
