"rumah_sakit","specialty","golongan","nama_layanan"
"Mitra Keluarga Grand Wisata","THT","KECIL","Aff Tampon Nasal (Narkose)"
"Mitra Keluarga Grand Wisata","THT","KECIL","Debridement + Hecting Daun Telinga"
"Mitra Keluarga Grand Wisata","THT","KECIL","Ekstraksi Serumen"
"Mitra Keluarga Grand Wisata","THT","KECIL","Miringotomi"
"Mitra Keluarga Grand Wisata","THT","KECIL","Pasang Tampon Bellocq"
"Mitra Keluarga Grand Wisata","THT","KECIL","Ganti Kanul Trakea"
"Mitra Keluarga Grand Wisata","THT","KECIL","Debridement"
"Mitra Keluarga Grand Wisata","THT","KECIL","Kauterisasi"
"Mitra Keluarga Grand Wisata","THT","KECIL","Repair Sutura Hidung/ Telinga/ Tenggorokan"
"Mitra Keluarga Grand Wisata","THT","KECIL","Aff Tampon Bellocq"
"Mitra Keluarga Grand Wisata","THT","KECIL","Irigasi Sinus Bilateral"
"Mitra Keluarga Grand Wisata","THT","KECIL","Kaustic Faring"
"Mitra Keluarga Grand Wisata","THT","KECIL","Pemasangan NGT via Endoskopi"
"Mitra Keluarga Grand Wisata","THT","KECIL","Aspirasi Pesudocyst dan Gips Telinga"
"Mitra Keluarga Grand Wisata","THT","KECIL","Ekstirpasi Pseudocyst"
"Mitra Keluarga Grand Wisata","THT","KECIL","Chemical Caustic Konka"
"Mitra Keluarga Grand Wisata","THT","KECIL","Chemical Caustic Faring"
"Mitra Keluarga Grand Wisata","THT","KECIL","Adenoidektomi"
"Mitra Keluarga Grand Wisata","THT","KECIL","Antrostomi (Sinus Maksilaris)"
"Mitra Keluarga Grand Wisata","THT","KECIL","Biopsi Tumor"
"Mitra Keluarga Grand Wisata","THT","KECIL","Biopsi Tumor Laring"
"Mitra Keluarga Grand Wisata","THT","KECIL","Biopsi Tumor Nasofaring"
"Mitra Keluarga Grand Wisata","THT","KECIL","Eksplorasi Nasofaring"
"Mitra Keluarga Grand Wisata","THT","KECIL","Ekstirpasi Ateroma Lobulus Telinga"
"Mitra Keluarga Grand Wisata","THT","KECIL","Ekstirpasi Kista Bronkialis"
"Mitra Keluarga Grand Wisata","THT","KECIL","Ekstirpasi Kista Sinus Paranasal"
"Mitra Keluarga Grand Wisata","THT","KECIL","Ekstirpasi Preaurikuler Fistel"
"Mitra Keluarga Grand Wisata","THT","KECIL","Ekstirpasi Tumor Daun Telinga"
"Mitra Keluarga Grand Wisata","THT","KECIL","Ekstraksi Benda Asing"
"Mitra Keluarga Grand Wisata","THT","KECIL","Ekstraksi Benda Asing Laringofaring"
"Mitra Keluarga Grand Wisata","THT","SEDANG 1","Ekstraksi Jaringan Granulasi"
"Mitra Keluarga Grand Wisata","THT","SEDANG 1","Insisi Abses Lobulus Telinga"
"Mitra Keluarga Grand Wisata","THT","SEDANG 1","Insisi Abses Septum"
"Mitra Keluarga Grand Wisata","THT","SEDANG 1","Insisi Abses Septum + Tampon"
"Mitra Keluarga Grand Wisata","THT","SEDANG 1","Irigasi Sinus/ DAWO"
"Mitra Keluarga Grand Wisata","THT","SEDANG 1","Laringoskopi Diagnostik"
"Mitra Keluarga Grand Wisata","THT","SEDANG 1","Pemasangan T - Tube"
"Mitra Keluarga Grand Wisata","THT","SEDANG 1","Pembukaan Lubang Hidung"
"Mitra Keluarga Grand Wisata","THT","SEDANG 1","Regional Flap"
"Mitra Keluarga Grand Wisata","THT","SEDANG 1","Septum Reseksi/ SMR"
